Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
6.119212334;52.0;16.0;36.0;69.23076923076923;26.0;8.0;18.0;69.23076923076923
16.663782206;132.0;22.0;110.0;83.33333333333334;66.0;11.0;55.0;83.33333333333334
0.533062809;28.0;6.0;22.0;78.57142857142857;14.0;3.0;11.0;78.57142857142857
0.218492518;10.0;6.0;4.0;40.0;5.0;3.0;2.0;40.0
8.517621305;109.0;18.0;91.0;83.4862385321101;54.0;9.0;45.0;83.33333333333334
1.71197774;32.0;18.0;14.0;43.75;16.0;9.0;7.0;43.75
10.52660757;513.0;16.0;497.0;96.88109161793372;253.0;8.0;245.0;96.83794466403161
9.801103298;172.0;34.0;138.0;80.23255813953489;85.0;16.0;69.0;81.17647058823529
0.104383713;6.0;6.0;0.0;0.0;3.0;3.0;0.0;0.0
14.431025684;198.0;20.0;178.0;89.8989898989899;99.0;10.0;89.0;89.8989898989899
3.519407978;116.0;16.0;100.0;86.20689655172413;58.0;8.0;50.0;86.20689655172413
3.047812342;58.0;8.0;50.0;86.20689655172413;29.0;4.0;25.0;86.20689655172413
0.271365231;23.0;6.0;17.0;73.91304347826086;11.0;3.0;8.0;72.72727272727273
0.472105449;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
5.497669706;46.0;20.0;26.0;56.52173913043478;23.0;10.0;13.0;56.52173913043478
3.810780986;70.0;24.0;46.0;65.71428571428571;35.0;12.0;23.0;65.71428571428571
1.005174219;39.0;8.0;31.0;79.48717948717949;19.0;4.0;15.0;78.94736842105263
0.368062412;20.0;6.0;14.0;70.0;10.0;3.0;7.0;70.0
2.743549169;62.0;16.0;46.0;74.19354838709677;31.0;8.0;23.0;74.19354838709677
0.531099743;32.0;8.0;24.0;75.0;16.0;4.0;12.0;75.0
3.105119482;96.0;12.0;84.0;87.5;48.0;6.0;42.0;87.5
0.670408642;30.0;10.0;20.0;66.66666666666666;15.0;5.0;10.0;66.66666666666666
0.043266082;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
1.426163186;56.0;12.0;44.0;78.57142857142857;28.0;6.0;22.0;78.57142857142857
0.046259434;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
1.379591231;42.0;12.0;30.0;71.42857142857143;21.0;6.0;15.0;71.42857142857143
9.160485201;190.0;20.0;170.0;89.47368421052632;95.0;10.0;85.0;89.47368421052632
1.292837225;36.0;12.0;24.0;66.66666666666666;18.0;6.0;12.0;66.66666666666666
0.038393034;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.673176798;24.0;10.0;14.0;58.333333333333336;12.0;5.0;7.0;58.333333333333336
