Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.775441701;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
0.907175422;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
0.826542408;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.803947859;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
1.170984849;30.0;14.0;16.0;53.333333333333336;15.0;7.0;8.0;53.333333333333336
0.44453205;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
0.705073133;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
0.772376218;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
0.736095218;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
0.656047092;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.577236666;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
1.864938601;62.0;10.0;52.0;83.87096774193549;31.0;5.0;26.0;83.87096774193549
1.000980171;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
0.567335405;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
1.380101722;47.0;8.0;39.0;82.97872340425532;23.0;4.0;19.0;82.6086956521739
1.179192373;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
2.266512423;37.0;17.0;20.0;54.054054054054056;18.0;8.0;10.0;55.55555555555556
4.660949793;50.0;22.0;28.0;56.00000000000001;25.0;11.0;14.0;56.00000000000001
1.02642442;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
11.851391575;136.0;34.0;102.0;75.0;68.0;17.0;51.0;75.0
