Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
1.2011907750000002;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
1.214295171;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
1.2866860519999999;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
1.1573016729999999;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
1.4004119819999998;30.0;8.0;22.0;73.33333333333333;15.0;4.0;11.0;73.33333333333333
1.240807437;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
1.161000251;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
1.2590249900000001;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
1.141925936;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
1.1124464200000002;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
1.589139192;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
1.273261483;62.0;8.0;54.0;87.09677419354838;31.0;4.0;27.0;87.09677419354838
1.999788147;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
1.486809939;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
1.541865718;47.0;8.0;39.0;82.97872340425532;23.0;4.0;19.0;82.6086956521739
1.818298827;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
1.970175291;37.0;8.0;29.0;78.37837837837837;18.0;4.0;14.0;77.77777777777779
1.312321415;50.0;8.0;42.0;84.0;25.0;4.0;21.0;84.0
1.3606765090000001;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
1.3271744250000002;136.0;8.0;128.0;94.11764705882352;68.0;4.0;64.0;94.11764705882352
