Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.284062868;52.0;22.0;30.0;57.692307692307686;26.0;11.0;15.0;57.692307692307686
0.086857065;132.0;18.0;114.0;86.36363636363636;66.0;9.0;57.0;86.36363636363636
0.218654562;28.0;10.0;18.0;64.28571428571429;14.0;5.0;9.0;64.28571428571429
0.043138181;10.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
0.240786018;109.0;14.0;95.0;87.1559633027523;54.0;7.0;47.0;87.03703703703704
0.220914379;32.0;8.0;24.0;75.0;16.0;4.0;12.0;75.0
0.092520091;513.0;18.0;495.0;96.49122807017544;253.0;9.0;244.0;96.44268774703558
0.063674676;172.0;10.0;162.0;94.18604651162791;85.0;5.0;80.0;94.11764705882352
0.038649673;6.0;6.0;0.0;0.0;3.0;3.0;0.0;0.0
0.033928173;198.0;6.0;192.0;96.96969696969697;99.0;3.0;96.0;96.96969696969697
0.0703864;18.0;12.0;6.0;33.33333333333333;9.0;6.0;3.0;33.33333333333333
0.05355935;12.0;12.0;0.0;0.0;6.0;6.0;0.0;0.0
0.056630378;10.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
0.045311991;14.0;10.0;4.0;28.57142857142857;7.0;5.0;2.0;28.57142857142857
0.037903506;30.0;18.0;12.0;40.0;15.0;9.0;6.0;40.0
0.027627624;16.0;14.0;2.0;12.5;8.0;7.0;1.0;12.5
0.036827937;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
0.037917444;14.0;14.0;0.0;0.0;7.0;7.0;0.0;0.0
0.027985744;23.0;10.0;13.0;56.52173913043478;11.0;5.0;6.0;54.54545454545454
0.021143955;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.131985292;116.0;10.0;106.0;91.37931034482759;58.0;5.0;53.0;91.37931034482759
0.305728114;58.0;22.0;36.0;62.06896551724138;29.0;11.0;18.0;62.06896551724138
0.079277501;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
0.074905849;16.0;14.0;2.0;12.5;8.0;7.0;1.0;12.5
0.183881972;46.0;24.0;22.0;47.82608695652174;23.0;12.0;11.0;47.82608695652174
0.030443612;70.0;10.0;60.0;85.71428571428571;35.0;5.0;30.0;85.71428571428571
0.183681892;39.0;16.0;23.0;58.97435897435898;19.0;8.0;11.0;57.89473684210527
0.056582579;20.0;10.0;10.0;50.0;10.0;5.0;5.0;50.0
0.088079704;62.0;34.0;28.0;45.16129032258064;31.0;17.0;14.0;45.16129032258064
0.177414838;32.0;26.0;6.0;18.75;16.0;13.0;3.0;18.75
0.057072193;96.0;4.0;92.0;95.83333333333334;48.0;2.0;46.0;95.83333333333334
0.034182964;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.027854229;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.010461405;56.0;4.0;52.0;92.85714285714286;28.0;2.0;26.0;92.85714285714286
0.022889136;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.02336224;42.0;4.0;38.0;90.47619047619048;21.0;2.0;19.0;90.47619047619048
0.052567813;190.0;4.0;186.0;97.89473684210527;95.0;2.0;93.0;97.89473684210527
0.059441011;36.0;4.0;32.0;88.88888888888889;18.0;2.0;16.0;88.88888888888889
0.023730066;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.041650176;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
0.032102283;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.136402702;62.0;12.0;50.0;80.64516129032258;31.0;6.0;25.0;80.64516129032258
0.177591781;46.0;22.0;24.0;52.17391304347826;23.0;11.0;12.0;52.17391304347826
0.129863931;52.0;14.0;38.0;73.07692307692307;26.0;7.0;19.0;73.07692307692307
0.076534392;47.0;14.0;33.0;70.2127659574468;23.0;7.0;16.0;69.56521739130434
0.559796288;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.05727984;37.0;26.0;11.0;29.72972972972973;18.0;13.0;5.0;27.77777777777778
0.031106239;50.0;10.0;40.0;80.0;25.0;5.0;20.0;80.0
0.122086018;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.079829976;136.0;14.0;122.0;89.70588235294117;68.0;7.0;61.0;89.70588235294117
