Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.0703864;18.0;12.0;6.0;33.33333333333333;9.0;6.0;3.0;33.33333333333333
0.05355935;12.0;12.0;0.0;0.0;6.0;6.0;0.0;0.0
0.056630378;10.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
0.045311991;14.0;10.0;4.0;28.57142857142857;7.0;5.0;2.0;28.57142857142857
0.037903506;30.0;18.0;12.0;40.0;15.0;9.0;6.0;40.0
0.027627624;16.0;14.0;2.0;12.5;8.0;7.0;1.0;12.5
0.036827937;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
0.037917444;14.0;14.0;0.0;0.0;7.0;7.0;0.0;0.0
0.027985744;23.0;10.0;13.0;56.52173913043478;11.0;5.0;6.0;54.54545454545454
0.021143955;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.032102283;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.136402702;62.0;12.0;50.0;80.64516129032258;31.0;6.0;25.0;80.64516129032258
0.177591781;46.0;22.0;24.0;52.17391304347826;23.0;11.0;12.0;52.17391304347826
0.129863931;52.0;14.0;38.0;73.07692307692307;26.0;7.0;19.0;73.07692307692307
0.076534392;47.0;14.0;33.0;70.2127659574468;23.0;7.0;16.0;69.56521739130434
0.559796288;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.05727984;37.0;26.0;11.0;29.72972972972973;18.0;13.0;5.0;27.77777777777778
0.031106239;50.0;10.0;40.0;80.0;25.0;5.0;20.0;80.0
0.122086018;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
0.079829976;136.0;14.0;122.0;89.70588235294117;68.0;7.0;61.0;89.70588235294117
