Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.049693031;52.0;6.0;46.0;88.46153846153845;26.0;3.0;23.0;88.46153846153845
0.033740929;132.0;6.0;126.0;95.45454545454545;66.0;3.0;63.0;95.45454545454545
0.030681677;28.0;6.0;22.0;78.57142857142857;14.0;3.0;11.0;78.57142857142857
0.049565609;10.0;6.0;4.0;40.0;5.0;3.0;2.0;40.0
0.034412196;109.0;6.0;103.0;94.4954128440367;54.0;3.0;51.0;94.44444444444444
0.096825797;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.168820237;513.0;6.0;507.0;98.83040935672514;253.0;3.0;250.0;98.81422924901186
0.363108;172.0;6.0;166.0;96.51162790697676;85.0;3.0;82.0;96.47058823529412
0.29454542;6.0;6.0;0.0;0.0;3.0;3.0;0.0;0.0
0.040274747;198.0;6.0;192.0;96.96969696969697;99.0;3.0;96.0;96.96969696969697
0.079292532;116.0;6.0;110.0;94.82758620689656;58.0;3.0;55.0;94.82758620689656
0.10485494;58.0;6.0;52.0;89.65517241379311;29.0;3.0;26.0;89.65517241379311
0.151426047;23.0;6.0;17.0;73.91304347826086;11.0;3.0;8.0;72.72727272727273
0.058646059;16.0;6.0;10.0;62.5;8.0;3.0;5.0;62.5
0.123702547;46.0;6.0;40.0;86.95652173913044;23.0;3.0;20.0;86.95652173913044
0.077158808;70.0;6.0;64.0;91.42857142857143;35.0;3.0;32.0;91.42857142857143
0.04654097;39.0;6.0;33.0;84.61538461538461;19.0;3.0;16.0;84.21052631578947
0.056486138;20.0;6.0;14.0;70.0;10.0;3.0;7.0;70.0
0.073140689;62.0;6.0;56.0;90.32258064516128;31.0;3.0;28.0;90.32258064516128
0.04489587;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.056786287;96.0;4.0;92.0;95.83333333333334;48.0;2.0;46.0;95.83333333333334
0.046098303;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.085453721;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.033191915;56.0;4.0;52.0;92.85714285714286;28.0;2.0;26.0;92.85714285714286
0.066152483;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.091514011;42.0;4.0;38.0;90.47619047619048;21.0;2.0;19.0;90.47619047619048
0.051452835;190.0;4.0;186.0;97.89473684210527;95.0;2.0;93.0;97.89473684210527
0.087713831;36.0;4.0;32.0;88.88888888888889;18.0;2.0;16.0;88.88888888888889
0.068464375;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.038976808;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
