Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.885045478;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
0.661708878;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
0.610916701;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.660261292;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
0.626836011;30.0;8.0;22.0;73.33333333333333;15.0;4.0;11.0;73.33333333333333
0.622581182;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
0.590668764;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
0.580387962;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
0.651531617;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
1.176663535;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
1.803686861;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
2.800734092;62.0;8.0;54.0;87.09677419354838;31.0;4.0;27.0;87.09677419354838
1.674353027;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
1.703524073;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
1.15716155;47.0;10.0;37.0;78.72340425531915;23.0;5.0;18.0;78.26086956521739
3.095522413;20.0;14.0;6.0;30.0;10.0;7.0;3.0;30.0
1.291694454;37.0;10.0;27.0;72.97297297297297;18.0;5.0;13.0;72.22222222222221
2.97544809;50.0;8.0;42.0;84.0;25.0;4.0;21.0;84.0
1.301809045;20.0;10.0;10.0;50.0;10.0;5.0;5.0;50.0
1.684328844;136.0;8.0;128.0;94.11764705882352;68.0;4.0;64.0;94.11764705882352
