Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
1.566951075;52.0;6.0;46.0;88.46153846153845;26.0;3.0;23.0;88.46153846153845
2.165079217;132.0;6.0;126.0;95.45454545454545;66.0;3.0;63.0;95.45454545454545
1.389670052;28.0;6.0;22.0;78.57142857142857;14.0;3.0;11.0;78.57142857142857
1.985633296;10.0;6.0;4.0;40.0;5.0;3.0;2.0;40.0
1.114913906;109.0;6.0;103.0;94.4954128440367;54.0;3.0;51.0;94.44444444444444
1.808738484;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
1.379376426;513.0;6.0;507.0;98.83040935672514;253.0;3.0;250.0;98.81422924901186
1.827270179;172.0;6.0;166.0;96.51162790697676;85.0;3.0;82.0;96.47058823529412
1.135614103;6.0;6.0;0.0;0.0;3.0;3.0;0.0;0.0
0.018164096;198.0;6.0;192.0;96.96969696969697;99.0;3.0;96.0;96.96969696969697
2.62410191;116.0;6.0;110.0;94.82758620689656;58.0;3.0;55.0;94.82758620689656
2.241271995;58.0;6.0;52.0;89.65517241379311;29.0;3.0;26.0;89.65517241379311
1.514541599;23.0;6.0;17.0;73.91304347826086;11.0;3.0;8.0;72.72727272727273
1.654150729;16.0;6.0;10.0;62.5;8.0;3.0;5.0;62.5
1.895281384;46.0;6.0;40.0;86.95652173913044;23.0;3.0;20.0;86.95652173913044
3.809855537;70.0;6.0;64.0;91.42857142857143;35.0;3.0;32.0;91.42857142857143
2.255368887;39.0;6.0;33.0;84.61538461538461;19.0;3.0;16.0;84.21052631578947
1.581943296;20.0;6.0;14.0;70.0;10.0;3.0;7.0;70.0
1.870132957;62.0;6.0;56.0;90.32258064516128;31.0;3.0;28.0;90.32258064516128
0.046780255;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.45218426;96.0;4.0;92.0;95.83333333333334;48.0;2.0;46.0;95.83333333333334
0.449306949;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.361166966;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.423622946;56.0;4.0;52.0;92.85714285714286;28.0;2.0;26.0;92.85714285714286
0.760485006;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.660552575;42.0;4.0;38.0;90.47619047619048;21.0;2.0;19.0;90.47619047619048
0.449815181;190.0;4.0;186.0;97.89473684210527;95.0;2.0;93.0;97.89473684210527
0.421585538;36.0;4.0;32.0;88.88888888888889;18.0;2.0;16.0;88.88888888888889
0.91336656;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.013947524;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
