Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
57.508422871;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
64.654362081;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
46.913065911;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
44.890097821;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
42.724677406;30.0;8.0;22.0;73.33333333333333;15.0;4.0;11.0;73.33333333333333
50.706047326;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
42.929161075;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
43.98823009;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
9.070255654;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
41.833326342;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
21.289939221;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
18.506351697;62.0;8.0;54.0;87.09677419354838;31.0;4.0;27.0;87.09677419354838
17.865441173;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
11.934814762;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
13.286311643;47.0;8.0;39.0;82.97872340425532;23.0;4.0;19.0;82.6086956521739
20.294050041;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
18.149816083;37.0;8.0;29.0;78.37837837837837;18.0;4.0;14.0;77.77777777777779
16.426639017;50.0;8.0;42.0;84.0;25.0;4.0;21.0;84.0
16.582736848;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
17.072271429;136.0;8.0;128.0;94.11764705882352;68.0;4.0;64.0;94.11764705882352
