Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.089414266;52.0;6.0;46.0;88.46153846153845;26.0;3.0;23.0;88.46153846153845
0.108777123;132.0;6.0;126.0;95.45454545454545;66.0;3.0;63.0;95.45454545454545
0.083535883;28.0;6.0;22.0;78.57142857142857;14.0;3.0;11.0;78.57142857142857
0.125853839;10.0;6.0;4.0;40.0;5.0;3.0;2.0;40.0
0.087080254;109.0;6.0;103.0;94.4954128440367;54.0;3.0;51.0;94.44444444444444
0.137173982;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.072300793;513.0;6.0;507.0;98.83040935672514;253.0;3.0;250.0;98.81422924901186
0.045853988;172.0;6.0;166.0;96.51162790697676;85.0;3.0;82.0;96.47058823529412
0.073504528;6.0;6.0;0.0;0.0;3.0;3.0;0.0;0.0
0.022901962;198.0;6.0;192.0;96.96969696969697;99.0;3.0;96.0;96.96969696969697
14.547873711;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
17.91952431;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
14.089610723;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
14.007093582;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
13.870411824;30.0;8.0;22.0;73.33333333333333;15.0;4.0;11.0;73.33333333333333
15.395890908;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
13.783163547;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
14.651210483;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
2.531886708;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
14.81892722;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
0.244135154;116.0;6.0;110.0;94.82758620689656;58.0;3.0;55.0;94.82758620689656
0.110274707;58.0;6.0;52.0;89.65517241379311;29.0;3.0;26.0;89.65517241379311
0.147088798;23.0;6.0;17.0;73.91304347826086;11.0;3.0;8.0;72.72727272727273
0.217115268;16.0;6.0;10.0;62.5;8.0;3.0;5.0;62.5
0.26673182;46.0;6.0;40.0;86.95652173913044;23.0;3.0;20.0;86.95652173913044
0.215036512;70.0;6.0;64.0;91.42857142857143;35.0;3.0;32.0;91.42857142857143
0.187261602;39.0;6.0;33.0;84.61538461538461;19.0;3.0;16.0;84.21052631578947
0.120207021;20.0;6.0;14.0;70.0;10.0;3.0;7.0;70.0
0.165549936;62.0;6.0;56.0;90.32258064516128;31.0;3.0;28.0;90.32258064516128
0.053363944;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.07145144;96.0;4.0;92.0;95.83333333333334;48.0;2.0;46.0;95.83333333333334
0.054087169;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.081044961;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.017088288;56.0;4.0;52.0;92.85714285714286;28.0;2.0;26.0;92.85714285714286
0.053116026;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.040769721;42.0;4.0;38.0;90.47619047619048;21.0;2.0;19.0;90.47619047619048
0.036146202;190.0;4.0;186.0;97.89473684210527;95.0;2.0;93.0;97.89473684210527
0.029845309;36.0;4.0;32.0;88.88888888888889;18.0;2.0;16.0;88.88888888888889
0.055235185;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.055571955;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
6.669541764;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.77680741;62.0;8.0;54.0;87.09677419354838;31.0;4.0;27.0;87.09677419354838
6.319538344;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
4.119451915;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
4.095323484;47.0;8.0;39.0;82.97872340425532;23.0;4.0;19.0;82.6086956521739
6.650768167;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.338127629;37.0;8.0;29.0;78.37837837837837;18.0;4.0;14.0;77.77777777777779
5.876540475;50.0;8.0;42.0;84.0;25.0;4.0;21.0;84.0
6.293469309;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.943273031;136.0;8.0;128.0;94.11764705882352;68.0;4.0;64.0;94.11764705882352
