Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
14.547873711;18.0;8.0;10.0;55.55555555555556;9.0;4.0;5.0;55.55555555555556
17.91952431;12.0;8.0;4.0;33.33333333333333;6.0;4.0;2.0;33.33333333333333
14.089610723;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
14.007093582;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
13.870411824;30.0;8.0;22.0;73.33333333333333;15.0;4.0;11.0;73.33333333333333
15.395890908;16.0;8.0;8.0;50.0;8.0;4.0;4.0;50.0
13.783163547;8.0;8.0;0.0;0.0;4.0;4.0;0.0;0.0
14.651210483;14.0;8.0;6.0;42.857142857142854;7.0;4.0;3.0;42.857142857142854
2.531886708;23.0;8.0;15.0;65.21739130434783;11.0;4.0;7.0;63.63636363636363
14.81892722;10.0;8.0;2.0;20.0;5.0;4.0;1.0;20.0
6.669541764;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.77680741;62.0;8.0;54.0;87.09677419354838;31.0;4.0;27.0;87.09677419354838
6.319538344;46.0;8.0;38.0;82.6086956521739;23.0;4.0;19.0;82.6086956521739
4.119451915;52.0;8.0;44.0;84.61538461538461;26.0;4.0;22.0;84.61538461538461
4.095323484;47.0;8.0;39.0;82.97872340425532;23.0;4.0;19.0;82.6086956521739
6.650768167;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.338127629;37.0;8.0;29.0;78.37837837837837;18.0;4.0;14.0;77.77777777777779
5.876540475;50.0;8.0;42.0;84.0;25.0;4.0;21.0;84.0
6.293469309;20.0;8.0;12.0;60.0;10.0;4.0;6.0;60.0
6.943273031;136.0;8.0;128.0;94.11764705882352;68.0;4.0;64.0;94.11764705882352
