Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.576352366;118.0;4.0;114.0;96.61016949152543;59.0;2.0;57.0;96.61016949152543
0.539468347;40.0;4.0;36.0;90.0;20.0;2.0;18.0;90.0
1.031054963;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
0.528358338;38.0;4.0;34.0;89.47368421052632;19.0;2.0;17.0;89.47368421052632
0.523312775;50.0;4.0;46.0;92.0;25.0;2.0;23.0;92.0
0.56764176;44.0;6.0;38.0;86.36363636363636;22.0;3.0;19.0;86.36363636363636
0.501842475;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.547613263;58.0;4.0;54.0;93.10344827586206;29.0;2.0;27.0;93.10344827586206
1.047343875;94.0;4.0;90.0;95.74468085106383;47.0;2.0;45.0;95.74468085106383
0.574309837;140.0;4.0;136.0;97.14285714285714;70.0;2.0;68.0;97.14285714285714
2.544306446;147.0;9.0;138.0;93.87755102040816;73.0;4.0;69.0;94.52054794520548
2.665951784;21.0;9.0;12.0;57.14285714285714;10.0;4.0;6.0;60.0
1.719485734;51.0;9.0;42.0;82.35294117647058;25.0;4.0;21.0;84.0
2.144989237;33.0;9.0;24.0;72.72727272727273;16.0;4.0;12.0;75.0
3.161383967;373.0;9.0;364.0;97.58713136729223;186.0;4.0;182.0;97.84946236559139
3.483323215;29.0;11.0;18.0;62.06896551724138;14.0;5.0;9.0;64.28571428571429
1.925481194;57.0;9.0;48.0;84.21052631578947;28.0;4.0;24.0;85.71428571428571
1.574713439;193.0;9.0;184.0;95.33678756476684;96.0;4.0;92.0;95.83333333333334
2.491234445;41.0;11.0;30.0;73.17073170731707;20.0;5.0;15.0;75.0
3.470492291;27.0;11.0;16.0;59.25925925925925;13.0;5.0;8.0;61.53846153846154
