Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.03990111;22.0;4.0;18.0;81.81818181818183;11.0;2.0;9.0;81.81818181818183
0.007231585;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.01802572;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.003498839;8.0;4.0;4.0;50.0;4.0;2.0;2.0;50.0
0.019815141;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.007064954;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.013642855;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.033658891;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.003913855;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.031939222;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.011962619;46.0;2.0;44.0;95.65217391304348;23.0;1.0;22.0;95.65217391304348
0.004082845;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.016213524;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
0.020582103;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.002620047;18.0;2.0;16.0;88.88888888888889;9.0;1.0;8.0;88.88888888888889
0.016757102;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.004498112;42.0;2.0;40.0;95.23809523809523;21.0;1.0;20.0;95.23809523809523
0.004579319;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.018561702;264.0;4.0;260.0;98.48484848484848;132.0;2.0;130.0;98.48484848484848
0.004514867;76.0;4.0;72.0;94.73684210526315;38.0;2.0;36.0;94.73684210526315
0.008957579;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.00734892;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.00462746;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.008189051;48.0;4.0;44.0;91.66666666666666;24.0;2.0;22.0;91.66666666666666
0.00436235;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.007538348;16.0;4.0;12.0;75.0;8.0;2.0;6.0;75.0
0.01703207;68.0;4.0;64.0;94.11764705882352;34.0;2.0;32.0;94.11764705882352
0.003599057;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.002031654;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.003988533;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.003832106;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.004749856;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.007111989;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.009655658;118.0;6.0;112.0;94.91525423728814;59.0;3.0;56.0;94.91525423728814
0.004212024;52.0;2.0;50.0;96.15384615384616;26.0;1.0;25.0;96.15384615384616
0.006942694;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.001354317;44.0;2.0;42.0;95.45454545454545;22.0;1.0;21.0;95.45454545454545
0.008102929;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
0.007924136;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.001887599;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.007025829;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.005510424;32.0;2.0;30.0;93.75;16.0;1.0;15.0;93.75
0.005803782;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.004680898;28.0;2.0;26.0;92.85714285714286;14.0;1.0;13.0;92.85714285714286
0.018131401;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.002518294;8.0;2.0;6.0;75.0;4.0;1.0;3.0;75.0
0.550210601;56.0;8.0;48.0;85.71428571428571;28.0;4.0;24.0;85.71428571428571
0.731103946;204.0;8.0;196.0;96.07843137254902;102.0;4.0;98.0;96.07843137254902
0.597930245;536.0;8.0;528.0;98.50746268656717;268.0;4.0;264.0;98.50746268656717
0.540147326;544.0;8.0;536.0;98.52941176470588;272.0;4.0;268.0;98.52941176470588
0.53510365;364.0;8.0;356.0;97.8021978021978;182.0;4.0;178.0;97.8021978021978
0.600865528;40.0;8.0;32.0;80.0;20.0;4.0;16.0;80.0
0.527421788;318.0;8.0;310.0;97.48427672955975;159.0;4.0;155.0;97.48427672955975
