Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.025501139;22.0;4.0;18.0;81.81818181818183;11.0;2.0;9.0;81.81818181818183
0.008641888;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.01706694;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.004742359;8.0;4.0;4.0;50.0;4.0;2.0;2.0;50.0
0.023861055;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.012697287;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.009397865;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.009866004;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.021776604;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.015150334;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.009185905;46.0;2.0;44.0;95.65217391304348;23.0;1.0;22.0;95.65217391304348
0.023666397;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.007151922;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
0.016594696;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.0059152;18.0;2.0;16.0;88.88888888888889;9.0;1.0;8.0;88.88888888888889
0.030567786;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.017538474;42.0;2.0;40.0;95.23809523809523;21.0;1.0;20.0;95.23809523809523
0.013320371;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.022162446;264.0;4.0;260.0;98.48484848484848;132.0;2.0;130.0;98.48484848484848
0.021907122;76.0;4.0;72.0;94.73684210526315;38.0;2.0;36.0;94.73684210526315
0.012503755;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.020863859;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.010594726;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.010775916;48.0;4.0;44.0;91.66666666666666;24.0;2.0;22.0;91.66666666666666
0.010323965;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.019549209;16.0;4.0;12.0;75.0;8.0;2.0;6.0;75.0
0.010419561;68.0;4.0;64.0;94.11764705882352;34.0;2.0;32.0;94.11764705882352
0.006138828;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.011192033;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.002955342;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.009176865;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.003784387;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.011131802;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.006555931;118.0;6.0;112.0;94.91525423728814;59.0;3.0;56.0;94.91525423728814
0.006019945;52.0;2.0;50.0;96.15384615384616;26.0;1.0;25.0;96.15384615384616
0.004890078;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.001632459;44.0;2.0;42.0;95.45454545454545;22.0;1.0;21.0;95.45454545454545
0.009639683;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
0.006243989;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.009108238;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.019815826;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.014679366;32.0;2.0;30.0;93.75;16.0;1.0;15.0;93.75
0.006761484;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.014284033;28.0;2.0;26.0;92.85714285714286;14.0;1.0;13.0;92.85714285714286
0.010218404;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.001713598;8.0;2.0;6.0;75.0;4.0;1.0;3.0;75.0
0.638310836;56.0;8.0;48.0;85.71428571428571;28.0;4.0;24.0;85.71428571428571
0.731793624;204.0;8.0;196.0;96.07843137254902;102.0;4.0;98.0;96.07843137254902
0.658340451;536.0;8.0;528.0;98.50746268656717;268.0;4.0;264.0;98.50746268656717
0.609421243;544.0;8.0;536.0;98.52941176470588;272.0;4.0;268.0;98.52941176470588
0.536195037;364.0;8.0;356.0;97.8021978021978;182.0;4.0;178.0;97.8021978021978
0.607021499;40.0;8.0;32.0;80.0;20.0;4.0;16.0;80.0
0.538920106;318.0;8.0;310.0;97.48427672955975;159.0;4.0;155.0;97.48427672955975
