Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
0.013309279;22.0;4.0;18.0;81.81818181818183;11.0;2.0;9.0;81.81818181818183
0.003843085;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.01101191;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.007829844;8.0;4.0;4.0;50.0;4.0;2.0;2.0;50.0
0.010442063;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.020390743;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.003729776;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
0.009628095;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.007973816;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.009834755;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.014334174;46.0;2.0;44.0;95.65217391304348;23.0;1.0;22.0;95.65217391304348
0.011540507;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.030940146;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
0.031586719;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.00544295;18.0;2.0;16.0;88.88888888888889;9.0;1.0;8.0;88.88888888888889
0.015553326;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.008836684;42.0;2.0;40.0;95.23809523809523;21.0;1.0;20.0;95.23809523809523
0.019134987;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.003983388;264.0;4.0;260.0;98.48484848484848;132.0;2.0;130.0;98.48484848484848
0.002731018;76.0;4.0;72.0;94.73684210526315;38.0;2.0;36.0;94.73684210526315
0.002367433;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.003319886;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.037861006;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
0.006526673;48.0;4.0;44.0;91.66666666666666;24.0;2.0;22.0;91.66666666666666
0.003214589;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.007308354;16.0;4.0;12.0;75.0;8.0;2.0;6.0;75.0
0.011635986;68.0;4.0;64.0;94.11764705882352;34.0;2.0;32.0;94.11764705882352
0.006602921;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.002761695;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.007225082;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.004595946;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.006160665;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.011726881;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.040850454;118.0;6.0;112.0;94.91525423728814;59.0;3.0;56.0;94.91525423728814
0.003661557;52.0;2.0;50.0;96.15384615384616;26.0;1.0;25.0;96.15384615384616
0.004735728;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.002088041;44.0;2.0;42.0;95.45454545454545;22.0;1.0;21.0;95.45454545454545
0.007504588;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
0.004991771;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.022995727;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.004969515;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.005941904;32.0;2.0;30.0;93.75;16.0;1.0;15.0;93.75
0.004352522;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.017319194;28.0;2.0;26.0;92.85714285714286;14.0;1.0;13.0;92.85714285714286
0.003336688;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.003099476;8.0;2.0;6.0;75.0;4.0;1.0;3.0;75.0
0.568463154;56.0;8.0;48.0;85.71428571428571;28.0;4.0;24.0;85.71428571428571
0.672640758;204.0;8.0;196.0;96.07843137254902;102.0;4.0;98.0;96.07843137254902
0.688926261;536.0;8.0;528.0;98.50746268656717;268.0;4.0;264.0;98.50746268656717
0.597908795;544.0;8.0;536.0;98.52941176470588;272.0;4.0;268.0;98.52941176470588
0.55876695;364.0;8.0;356.0;97.8021978021978;182.0;4.0;178.0;97.8021978021978
0.770775707;40.0;8.0;32.0;80.0;20.0;4.0;16.0;80.0
0.551494567;318.0;8.0;310.0;97.48427672955975;159.0;4.0;155.0;97.48427672955975
