# Generated on: 2024-07-09 21:35:57.653708652 +0200'# Shrunk Traces 8'
# Start total, inputs: 210, 70'
# Start: [22, 32, 18, 8, 14, 14, 18, 14]'
# Start inputs: [11, 16, 9, 4, 7, 7, 9, 7]'
# Start max, min, avg: 16, 4, 8.75'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.080184795;'[0.013309279, 0.003843085, 0.01101191, 0.007829844, 0.010442063, 0.020390743, 0.003729776, 0.009628095]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.00250577484375
'[Shrinking::ShortestPathLabelCount]';0.111774537;'[0.025501139, 0.008641888, 0.01706694, 0.004742359, 0.023861055, 0.012697287, 0.009397865, 0.009866004]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.00349295428125
'[Shrinking::PartialOrderShrinker]';0.142839095;'[0.03990111, 0.007231585, 0.01802572, 0.003498839, 0.019815141, 0.007064954, 0.013642855, 0.033658891]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.00446372171875
'[Shrinking::ShortestPathVisited]';0.15326765;'[0.03682318, 0.020572788, 0.014553134, 0.02494651, 0.018464457, 0.009047316, 0.0095916, 0.019268665]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.0047896140625
'[Shrinking::ShortestPathLabelCountReversed]';0.19604924299999998;'[0.017964996, 0.020007535, 0.024453313, 0.038040949, 0.041237792, 0.013427693, 0.020853408, 0.020063557]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.0061265388437499995
'[Shrinking::ShortestPathStatesLabelCount]';0.23341334099999997;'[0.025535974, 0.037851901, 0.031251199, 0.017067554, 0.067594223, 0.007028598, 0.036503729, 0.010580163]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.007294166906249999
'[Shrinking::ShortestPathStatesLabelCountReversed]';0.103591009;'[0.010916953, 0.023351459, 0.00895031, 0.006817847, 0.007623391, 0.005561299, 0.03070586, 0.00966389]';8;32;'[4, 4, 4, 4, 4, 4, 4, 4]';16;'[2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'8';'32';'16';'0';'0';'0';0.00323721903125
'[Shrinking::CycleShrink2]';0.15850755100000002;'[0.013745209, 0.014654811, 0.032305388, 0.010505823, 0.029996267, 0.025684284, 0.014806275, 0.016809494]';11;52;'[4, 4, 10, 4, 10, 12, 4, 4]';26;'[2, 2, 5, 2, 5, 6, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'11';'52';'26';'0';'0';'0';0.003048222134615385
'[Shrinking::BinaryShrink2]';8.940486085;'[1.798027209, 0.624042019, 1.125149518, 1.061376295, 1.071446445, 0.570561686, 1.078614187, 1.611268726]';43;308;'[100, 40, 26, 12, 24, 20, 30, 56]';154;'[50, 20, 13, 6, 12, 10, 15, 28]';3;2;2.25;'[3, 2, 2, 2, 2, 2, 2, 3]';6;4;4.5;'[6, 4, 4, 4, 4, 4, 4, 6]';'16';'80';'40';'27';'228';'114';'0';'0';'0';0.029027552224025973
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';8.424894744000001;'[1.043884567, 1.065358988, 1.06339783, 1.051872604, 1.0505016, 1.064191938, 1.050353498, 1.035333719]';27;84;'[8, 8, 14, 8, 14, 16, 8, 8]';42;'[4, 4, 7, 4, 7, 8, 4, 4]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4]';'16';'32';'16';'11';'52';'26';'0';'0';'0';0.10029636600000001
