# Generated on: 2024-07-09 21:37:43.918916788 +0200'# Shrunk Traces 10'
# Start total, inputs: 255, 85'
# Start: [2, 20, 46, 2, 26, 6, 18, 4, 42, 4]'
# Start inputs: [1, 10, 23, 1, 13, 3, 9, 2, 21, 2]'
# Start max, min, avg: 23, 1, 8.5'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.155178064;'[0.007973816, 0.009834755, 0.014334174, 0.011540507, 0.030940146, 0.031586719, 0.00544295, 0.015553326, 0.008836684, 0.019134987]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.005542073714285715
'[Shrinking::ShortestPathLabelCount]';0.16086768899999998;'[0.021776604, 0.015150334, 0.009185905, 0.023666397, 0.007151922, 0.016594696, 0.0059152, 0.030567786, 0.017538474, 0.013320371]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.005745274607142857
'[Shrinking::PartialOrderShrinker]';0.117148748;'[0.003913855, 0.031939222, 0.011962619, 0.004082845, 0.016213524, 0.020582103, 0.002620047, 0.016757102, 0.004498112, 0.004579319]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.004183883857142857
'[Shrinking::ShortestPathVisited]';0.12076867299999999;'[0.010215126, 0.024821798, 0.005084708, 0.017580257, 0.012187877, 0.005330145, 0.005385259, 0.018429052, 0.004978862, 0.016755589]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.004313166892857143
'[Shrinking::ShortestPathLabelCountReversed]';0.127241628;'[0.019032086, 0.024329468, 0.003686281, 0.016903703, 0.005345116, 0.010109617, 0.023695171, 0.015911175, 0.005144733, 0.003084278]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.004544343857142857
'[Shrinking::ShortestPathStatesLabelCount]';0.10429682599999998;'[0.006811915, 0.007007294, 0.01957713, 0.004581502, 0.015080314, 0.00734546, 0.006319491, 0.025521704, 0.009739033, 0.002312983]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.0037248866428571423
'[Shrinking::ShortestPathStatesLabelCountReversed]';0.16135791200000002;'[0.0320337, 0.010915029, 0.016106157, 0.030984306, 0.014401008, 0.009946751, 0.024254909, 0.014070784, 0.004341264, 0.004304004]';10;28;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';14;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'10';'28';'14';'0';'0';'0';0.005762782571428572
'[Shrinking::CycleShrink2]';0.09806416999999999;'[0.017452737, 0.022403499, 0.002351095, 0.013065895, 0.00973992, 0.004148934, 0.00335775, 0.006633718, 0.004107107, 0.014803515]';11;34;'[2, 10, 2, 2, 4, 4, 2, 4, 2, 2]';17;'[1, 5, 1, 1, 2, 2, 1, 2, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'0';'0';'0';'11';'34';'17';'0';'0';'0';0.0028842402941176466
'[Shrinking::BinaryShrink2]';4.139316911;'[0.016812345, 1.060844821, 0.640083284, 0.005623529, 0.604171146, 1.023927265, 0.055475846, 0.520309029, 0.20974791, 0.002321736]';42;275;'[2, 36, 77, 2, 34, 10, 22, 2, 88, 2]';139;'[1, 18, 39, 1, 17, 5, 11, 1, 45, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';6;2;3.0;'[2, 4, 2, 2, 4, 4, 2, 6, 2, 2]';'7';'20';'10';'32';'250';'125';'3';'5';'4';0.015052061494545453
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';7.3147359770000016;'[0.5216764260000001, 1.061795679, 0.5089270189999999, 0.548584125, 1.047021137, 1.0321260380000001, 0.519537007, 1.025957056, 0.5250035420000001, 0.5241079479999999]';25;50;'[2, 14, 2, 2, 8, 8, 2, 8, 2, 2]';25;'[1, 7, 1, 1, 4, 4, 1, 4, 1, 1]';2;1;1.4;'[1, 2, 1, 1, 2, 2, 1, 2, 1, 1]';4;2;2.8;'[2, 4, 2, 2, 4, 4, 2, 4, 2, 2]';'14';'16';'8';'11';'34';'17';'0';'0';'0';0.14629471954000003
